Front,Rear,Linear_vel,X_position,Y_position,Time_Secs,Time_Nanoseconds
0.0,0.0,0.5,0.0,0.0,0,0
-0.0029937580693513155,-0.0029937580693513155,0.5,0.0,-0.0,0,708333350
-0.0029937580693513155,-0.0029937580693513155,0.5,0.0,-0.0,0,708333350
0.0017617815174162388,0.0017617815174162388,0.5,0.0,-0.0,0,716666684
-1.1855274806293892e-07,-1.1855274806293892e-07,0.5,0.0,-0.0,0,725000018
-1.1855274806293892e-07,-1.1855274806293892e-07,0.5,0.0,-0.0,0,725000018
4.795315362571273e-07,4.795315362571273e-07,0.5,0.0,-0.0,0,733333351
4.795315362571273e-07,4.795315362571273e-07,0.5,0.0,-0.0,0,733333351
0.0005019779782742262,0.0005019779782742262,0.5,0.0,-0.0,0,741666685
0.0005019779782742262,0.0005019779782742262,0.5,0.0,-0.0,0,741666685
1.6725623197544337e-07,1.6725623197544337e-07,0.5,0.0,-0.0,0,750000018
-1.1516942777234362e-06,-1.1516942777234362e-06,0.5,0.0,-0.0,0,758333352
-1.1516942777234362e-06,-1.1516942777234362e-06,0.5,0.0,-0.0,0,758333352
1.12577356503607e-06,1.12577356503607e-06,0.5,0.0,-0.0,0,766666685
-1.8796545191435143e-06,-1.8796545191435143e-06,0.5,0.0,-0.0,0,775000019
-1.8796545191435143e-06,-1.8796545191435143e-06,0.5,0.0,-0.0,0,775000019
7.046317023196025e-07,7.046317023196025e-07,0.5,0.0,-0.0,0,783333352
-0.0018731553573161364,-0.0018731553573161364,0.5,0.0,-0.0,0,791666686
-0.0018731553573161364,-0.0018731553573161364,0.5,0.0,-0.0,0,791666686
0.003398374654352665,0.003398374654352665,0.5,-1.4598927487699428e-23,1.1920928955078125e-07,0,800000019
-0.009825610555708408,-0.009825610555708408,0.5,-7.299463743849714e-24,5.960464477539063e-08,0,808333353
-0.009825610555708408,-0.009825610555708408,0.5,-7.299463743849714e-24,5.960464477539063e-08,0,808333353
-1.331765247414296e-06,-1.331765247414296e-06,0.5,0.0,-0.0,0,816666686
0.002144637517631054,0.002144637517631054,0.5,-1.4598927487699428e-23,1.1920928955078125e-07,0,825000020
-0.0021459017880260944,-0.0021459017880260944,0.5,-7.299463743849714e-24,5.960464477539063e-08,0,833333354
-0.0021459017880260944,-0.0021459017880260944,0.5,-7.299463743849714e-24,5.960464477539063e-08,0,833333354
6.416154860744427e-07,6.416154860744427e-07,0.5,0.0,-0.0,0,841666687
0.0015586829977110028,0.0015586829977110028,0.5,-1.4598927487699428e-23,1.1920928955078125e-07,0,850000021
0.0015586829977110028,0.0015586829977110028,0.5,-1.4598927487699428e-23,1.1920928955078125e-07,0,850000021
-0.0015409248881042004,-0.0015409248881042004,0.5,0.0,-0.0,0,858333354
-0.0029080070089548826,-0.0029080070089548826,0.5,0.0,-0.0,0,866666688
-0.0029080070089548826,-0.0029080070089548826,0.5,0.0,-0.0,0,866666688
-1.2503289781307103e-07,-1.2503289781307103e-07,0.5,0.0,-0.0,0,875000021
0.0008350279531441629,0.0008350279531441629,0.5,0.0,-0.0,0,883333355
0.0008350279531441629,0.0008350279531441629,0.5,0.0,-0.0,0,883333355
-0.0008335203165188432,-0.0008335203165188432,0.5,0.0,-0.0,0,891666688
0.0008332876022905111,0.0008332876022905111,0.5,0.0,-0.0,0,900000022
0.0008332876022905111,0.0008332876022905111,0.5,0.0,-0.0,0,900000022
4.946746230416466e-07,4.946746230416466e-07,0.5,0.0,-0.0,0,908333355
1.2401653748383978e-06,1.2401653748383978e-06,0.5,0.0,-0.0,0,916666689
1.2401653748383978e-06,1.2401653748383978e-06,0.5,0.0,-0.0,0,916666689
5.238694598119764e-07,5.238694598119764e-07,0.5,0.0,-0.0,0,925000022
-5.87306772104057e-07,-5.87306772104057e-07,0.5,0.0,-0.0,0,933333356
-5.87306772104057e-07,-5.87306772104057e-07,0.5,0.0,-0.0,0,933333356
-2.1159414131943777e-07,-2.1159414131943777e-07,0.5,0.0,-0.0,0,941666689
-8.06199636826932e-07,-8.06199636826932e-07,0.5,0.0,-0.0,0,950000023
-8.06199636826932e-07,-8.06199636826932e-07,0.5,0.0,-0.0,0,950000023
-5.184124773904841e-08,-5.184124773904841e-08,0.5,0.0,-0.0,0,958333357
5.868292873856262e-07,5.868292873856262e-07,0.5,0.0,-0.0,0,966666690
5.868292873856262e-07,5.868292873856262e-07,0.5,0.0,-0.0,0,966666690
-3.168455293689476e-07,-3.168455293689476e-07,0.5,0.0,-0.0,0,975000024
7.185469712567283e-07,7.185469712567283e-07,0.5,0.0,-0.0,0,983333357
7.185469712567283e-07,7.185469712567283e-07,0.5,0.0,-0.0,0,983333357
1.6534629310172022e-07,1.6534629310172022e-07,0.5,0.0,-0.0,0,991666691
-9.154072699857352e-07,-9.154072699857352e-07,0.5,0.0,-0.0,1,24
-9.154072699857352e-07,-9.154072699857352e-07,0.5,0.0,-0.0,1,24
-2.6657315288503014e-07,-2.6657315288503014e-07,0.5,0.0,-0.0,1,8333358
-1.558784447297512e-06,-1.558784447297512e-06,0.5,0.0,-0.0,1,16666691
-1.558784447297512e-06,-1.558784447297512e-06,0.5,0.0,-0.0,1,16666691
0.0008355914033018053,0.0008355914033018053,0.5,0.0,-0.0,1,25000025
0.0009823398431763053,0.0009823398431763053,0.5,0.0,-0.0,1,33333358
-0.0008341758511960506,-0.0008341758511960506,0.5,0.0,-0.0,1,41666692
-0.0008341758511960506,-0.0008341758511960506,0.5,0.0,-0.0,1,41666692
0.004356686491519213,0.004356686491519213,0.5,0.0,-0.0,1,50000025
