Position [m],Gd = 586.7098 vel = 0.6227,Gd = 429.7559 vel = 0.4436,Gd = 367.0166 vel = 0.3952,Gd = 543.462 vel = 0.5741,Gd = 415.0496 vel = 1.4124,Gd = 454.5453 vel = 1.2151,Gd = 497.2476 vel = 1.1687,Gd = 243.8439 vel = 1.8404,Gd = 509.2451 vel = 1.3425,Gd = 354.9567 vel = 1.4605,Gd = 276.5736 vel = 1.0589,Gd = 373.8155 vel = 0.6689,Gd = 334.158 vel = 1.8091,Gd = 299.3893 vel = 1.572,Gd = 250.9768 vel = 1.5489,Gd = 490.4334 vel = 0.3154,Gd = 328.1416 vel = 1.7498,Gd = 293.9223 vel = 1.3788,Gd = 435.5165 vel = 1.8644,Gd = 220.3404 vel = 1.2296,Gd = 550.1736 vel = 0.8362,Gd = 204.3813 vel = 0.3537,Gd = 314.8324 vel = 1.036,Gd = 360.8712 vel = 0.9066,Gd = 487.7764 vel = 1.6487,Gd = 459.1478 vel = 1.9618,Gd = 504.8938 vel = 0.2852,Gd = 321.2128 vel = 0.8854,Gd = 596.3685 vel = 1.9894,Gd = 357.5645 vel = 1.0183,Gd = 405.8218 vel = 0.9751,Gd = 256.9875 vel = 0.4294,Gd = 580.491 vel = 1.2636,Gd = 288.4249 vel = 0.496,Gd = 224.5767 vel = 0.9427,Gd = 381.267 vel = 1.8257,Gd = 594.3695 vel = 1.4395,Gd = 275.8086 vel = 0.6505,Gd = 343.0463 vel = 1.5064,Gd = 411.9442 vel = 0.8646,Gd = 466.4732 vel = 0.9361,Gd = 384.3715 vel = 1.1005,Gd = 494.7856 vel = 0.5857,Gd = 252.5307 vel = 0.7493,Gd = 235.4113 vel = 0.7824,Gd = 214.7603 vel = 1.0781,Gd = 426.327 vel = 1.0875,Gd = 575.1593 vel = 1.7976,Gd = 440.9302 vel = 1.5926,Gd = 423.0298 vel = 0.7587,Gd = 472.4554 vel = 1.8969,Gd = 390.8098 vel = 1.4785,Gd = 307.2373 vel = 1.6803,Gd = 449.1035 vel = 1.1805,Gd = 468.1728 vel = 0.264,Gd = 536.3941 vel = 1.9165,Gd = 281.1977 vel = 1.4005,Gd = 344.7461 vel = 0.336,Gd = 200.5343 vel = 1.934,Gd = 348.4471 vel = 0.7972,Gd = 379.0782 vel = 1.8863,Gd = 477.4941 vel = 0.5122,Gd = 447.0242 vel = 0.2089,Gd = 530.2293 vel = 1.7092,Gd = 568.8689 vel = 1.6345,Gd = 577.1367 vel = 0.8821,Gd = 239.0215 vel = 0.4003,Gd = 417.0487 vel = 1.3218,Gd = 208.3688 vel = 0.9951,Gd = 544.6311 vel = 1.767,Gd = 368.1141 vel = 1.7186,Gd = 287.4286 vel = 1.3068,Gd = 316.5724 vel = 1.738,Gd = 260.9518 vel = 0.5962,Gd = 264.959 vel = 0.6927,Gd = 554.1623 vel = 0.2207,Gd = 526.4637 vel = 0.3712,Gd = 523.5703 vel = 1.2976,Gd = 310.1781 vel = 0.8256,Gd = 247.411 vel = 1.5581,Gd = 218.8256 vel = 1.3682,Gd = 326.4783 vel = 0.5335,Gd = 480.3018 vel = 0.7369,Gd = 463.2261 vel = 0.4641,Gd = 437.3798 vel = 1.26,Gd = 270.4231 vel = 0.4803,Gd = 395.2261 vel = 1.6631,Gd = 339.8731 vel = 0.2402,Gd = 556.7927 vel = 1.6053,Gd = 534.7467 vel = 0.6364,Gd = 561.0122 vel = 1.526,Gd = 397.6375 vel = 0.2921,Gd = 518.8143 vel = 1.4505,Gd = 228.738 vel = 0.5552,Gd = 588.4299 vel = 1.979,Gd = 501.6417 vel = 1.1532,Gd = 300.7392 vel = 1.2049,Gd = 513.7795 vel = 0.7053,Gd = 400.7417 vel = 0.972,Gd = 567.8466 vel = 1.121
8.124,-0.00935056000000002,-0.0111005555555555,-0.0122175806451613,0.00159611956521739,0.00665946106194691,0.00044428412371131,0.012213623655914,-0.00386551360544217,0.00100477203703704,-0.00771533846153846,-0.00649853999999999,-0.000286819999999994,0.0117837103448276,-0.00545487857142858,0.00672962903225806,-0.00827712,-0.0134765,-0.000148459636363667,0.00347355033557053,0.00841319387755101,-0.0163781492537313,0.00298717857142855,-0.00369937349397594,0.000611209452054796,0.00924681515151515,-0.00275251592356689,-0.0170354782608696,0.00889209154929579,-0.0172528113207547,-0.00216054074074072,0.00670944615384621,0.00561332941176472,0.00136004158415836,-0.00489088750000001,-0.00755109466666671,0.00579499863013696,0.00122820991304344,-0.000936531923076916,0.00946974710743802,-0.00358498260869566,0.0105506891891891,-0.00784724431818179,0.00796437021276596,-0.0125568666666667,0.00268170967741935,-0.00216868275862074,-0.00375950344827587,0.00811174999999992,0.00947682047244093,0.0055755737704918,-0.000531136776315788,-0.00733501694915255,-0.00778784888888884,-0.00392193263157893,-0.0147958571428571,-0.0165114805194805,0.000413650803571487,-0.0021825,-0.00327689935483871,-0.00863508906250003,0.00424314370860927,0.00029711951219513,0.0116135882352941,0.00797067518248166,-0.00281768244274809,0.00978371142857142,-0.00171768124999992,0.0165626132075472,-0.00885265000000001,-0.00474739361702128,-0.00319108540145985,-0.00888737884615385,0.00317405467625897,0.00744242916666667,0.0079517,-0.00214188333333334,-0.00627552413793104,-0.00677863653846153,-0.00347324848484849,-0.00471575000000001,-0.00887912181818182,0.00366221627906975,-0.00284193220338985,0.00258364594594595,0.000776978316831722,0.00617938461538463,0.00342813308270677,0.000961610000000028,0.0130574375,0.00888928431372551,0.00369692950819671,0.0106724166666667,0.00933010344827583,-0.00376527272727273,0.000445423544303808,-0.000322839935483908,-0.01303225,-0.00349895964912284,-0.0152305,-0.0168136666666667
8.13,-0.00960349999999992,-0.0109116857142857,-0.012106870967742,0.00167685777777776,0.00670281769911503,0.000223713134020656,0.0118909148936171,-0.00381336666666668,0.000992344259259262,-0.0076992358974359,-0.00667493999999995,-0.000399069999999969,0.0117758482758621,-0.00569938095238092,0.0067065806451613,-0.00845624799999998,-0.0132579285714286,-0.000430766181818131,0.00390865100671135,0.0083218836734694,-0.0162138208955224,0.00290000000000002,-0.0038979518072289,0.000561672465753432,0.00935533636363634,-0.00286579554140124,-0.0171919565217391,0.00897782112676054,-0.016994320754717,-0.00185676296296304,0.00701189230769228,0.00571075882352939,0.00104001930693073,-0.00504425128205126,-0.00775027631578946,0.00560045068493155,0.000599029043478374,-0.000818098679245306,0.00950113553719007,-0.00379527999999995,0.0101069186666667,-0.00773344545454546,0.00758550212765966,-0.0123860666666667,0.0025888,-0.00232979534883718,-0.00383300689655172,0.00782414265734268,0.00925697656250003,0.00544113442622954,-0.000374453881578988,-0.00746914117647056,-0.00749016000000003,-0.00366538526315792,-0.014474,-0.0165336993464052,0.000788709732142801,-0.00208246666666669,-0.00325239612903226,-0.00899018888888886,0.00427385894039735,0.000412060487804867,0.0117474705882353,0.00732828102189788,-0.00252033893129777,0.0101575774647887,-0.0013337531250001,0.0166073301886792,-0.00893186708860757,-0.00478790425531914,-0.00317646956521739,-0.00889857115384615,0.00301593956834536,0.00747029166666667,0.00822392678571424,-0.00219776666666666,-0.00633938666666666,-0.00669538737864079,-0.0032421575757576,-0.00488580799999996,-0.0087051763636364,0.00336489047619051,-0.0029574322033898,0.00265356216216215,0.00101187584158411,0.00629401315789473,0.00355287593984963,0.00115203684210523,0.0128618139534884,0.00919462799999997,0.00360948688524591,0.01100125,0.00909062068965519,-0.00377541777777778,0.000900751392404942,-0.000743155434782494,-0.0129298247422681,-0.00379706249999999,-0.0152247564102564,-0.0171255555555555
8.136,-0.00994645102040811,-0.0107155,-0.012011125,0.0017453956521739,0.00674359646017699,-2.14604123707343e-06,0.0115291935483871,-0.00376422380952381,0.000767415794392564,-0.00760934655172415,-0.00682478571428569,-0.000499497037037014,0.0117432413793103,-0.00594566666666666,0.00666535483870968,-0.00871541599999996,-0.0130408071428572,-0.000656627999999973,0.00422890604026839,0.00822506363636365,-0.0161195151515152,0.00283384285714286,-0.00404007228915661,0.000389008888888931,0.00945760909090908,-0.00310770636942672,-0.0173458695652174,0.00903372253521126,-0.0167092641509434,-0.00164577560975611,0.00734073846153839,0.00576264705882353,0.000757585643564422,-0.00514681999999999,-0.00795356578947367,0.00537598013698642,-4.79407826086123e-05,-0.000734568076923085,0.00954374999999998,-0.00407514347826084,0.00971811333333336,-0.00764336250000001,0.00709828936170217,-0.0121728666666667,0.00245223492063494,-0.00244736744186045,-0.0038893,0.007579820979021,0.00914030468750003,0.00527515500000003,-0.000244570717105281,-0.00760648571428569,-0.00720740447761197,-0.00340660000000004,-0.0142728571428572,-0.0165662483660131,0.00110814107142854,-0.00198036666666668,-0.00322789290322581,-0.00938809374999994,0.00436324701986755,0.000475918048780483,0.0118380588235294,0.0066778328467154,-0.00225285000000004,0.010453352112676,-0.000997876250000035,0.0166090471698113,-0.00907535624999999,-0.00483258510638297,-0.00316629565217392,-0.00882710000000002,0.00288028345323743,0.0075094659574468,0.00844547454545454,-0.00221368333333333,-0.00630505,-0.00660567864077671,-0.00295706666666671,-0.00505342399999997,-0.00852206055045874,0.00311121627906979,-0.00310376101694912,0.00276228684210524,0.00126886399999992,0.00636896842105263,0.00352869548872181,0.00137305499999994,0.0126804186046512,0.00952117647058819,0.00351785163934427,0.0113029130434783,0.00884493103448277,-0.00380560454545454,0.00135607924050621,-0.00119027934782599,-0.0128265,-0.00410242142857138,-0.0151874102564103,-0.0173876179775281
8.142,-0.0103605599999999,-0.0105165555555556,-0.0119334375,0.00178864782608695,0.0067695610619469,-0.000230257010309235,0.0111098387096774,-0.00371553918918919,0.000495676944444501,-0.00747972586206899,-0.0069428388235294,-0.000582745283018852,0.0116708275862069,-0.00624953359999998,0.00662086290322581,-0.00902965384615381,-0.0128252357142857,-0.000853127027027021,0.00454916107382543,0.00811924545454546,-0.016091223880597,0.00278622857142857,-0.00413715662650602,0.000137349523287706,0.00955754848484848,-0.0033496171974522,-0.017497652173913,0.00905418732394366,-0.0164024716981132,-0.00150913209876543,0.00767397179487175,0.00576448571428572,0.000576129801980226,-0.00520314615384615,-0.00813403199999999,0.00492495273972612,-0.000696555217391253,-0.000681343269230768,0.00962324999999999,-0.00441343043478259,0.00938684000000002,-0.00758206704545456,0.00652905957446808,-0.0119385333333333,0.00228698709677422,-0.00251963255813953,-0.0039173,0.00743738680555556,0.00903901338582676,0.00509244426229511,-0.000164458480263173,-0.0077386881355932,-0.00693686716417914,-0.00316003473684214,-0.0141872380952381,-0.0165997581699346,0.00130753392857139,-0.0018781,-0.00314961753246753,-0.00980501874999997,0.00454702185430464,0.000500063658536586,0.0118942352941176,0.00579381824817522,-0.00202185000000003,0.0106642142857143,-0.000717610937500025,0.0165937641509434,-0.00930073124999997,-0.0048772659574468,-0.00317453503649635,-0.00863990000000002,0.00278342014388491,0.00756136874999999,0.008616475,-0.00219532352941176,-0.00617976896551725,-0.00651240096153847,-0.00263826060606067,-0.00522383999999999,-0.00833193211009175,0.00289384047619049,-0.00328182372881356,0.00290729999999997,0.00158842399999994,0.0063986,0.00350451503759399,0.00163080526315787,0.0124990232558139,0.00986969411764702,0.00342583524590164,0.0115594347826086,0.00858217241379314,-0.00385958409090908,0.00188645094339614,-0.00161039782608689,-0.0127365,-0.0043824,-0.0151235974025974,-0.0175844719101124
8.148,-0.01082262,-0.010322,-0.0118780625,0.00179639130434783,0.00679910353982301,-0.000459901836734663,0.010665585106383,-0.00369389054054054,4.80602777778048e-05,-0.00729962991452995,-0.00700453294117646,-0.000645837037037028,0.0115984137931034,-0.00656100559999997,0.00656004032258065,-0.009391836,-0.0126169928571429,-0.000968878378378369,0.00465323288590604,0.00800913673469388,-0.0161159552238806,0.00275207142857143,-0.00418763614457831,-0.00017219433611108,0.00965632121212122,-0.00357197006369425,-0.0176412173913043,0.00903451267605634,-0.016095679245283,-0.00145247037037037,0.00798909999999999,0.00571321764705883,0.000440524752475243,-0.0052026925,-0.00827141578947368,0.00447392534246582,-0.00136571173913042,-0.000652009423076923,0.00970087272727273,-0.0047903,0.00911448000000002,-0.00752707500000001,0.00589494893617032,-0.0117050666666667,0.0021162380952381,-0.00251460930232558,-0.00390993448275862,0.00743759513888889,0.00907614724409448,0.00490735245901642,-8.43462434210657e-05,-0.00786885762711864,-0.00669750970149256,-0.00295988736842107,-0.014195380952381,-0.0166405424836601,0.00138923571428572,-0.00177694814814815,-0.00303791623376624,-0.010218078125,0.00473079668874172,0.000485605121951223,0.0119231764705882,0.00490980364963504,-0.00182310458015268,0.010792323943662,-0.000496385625000021,0.0164945943396227,-0.00956582499999999,-0.00491414154929577,-0.00320527956204379,-0.00836396153846158,0.00269340935251798,0.00763085744680851,0.00873457818181817,-0.00215545294117647,-0.00598002000000001,-0.00641657403846154,-0.00230660303030305,-0.00539817600000001,-0.00815639545454546,0.00271404418604653,-0.00348929491525423,0.00308700540540541,0.00197129603960391,0.00636627105263158,0.00332712030075188,0.00191691052631575,0.012301484375,0.0102328823529412,0.00325662131147541,0.0117536956521739,0.00835060344827589,-0.00394157954545455,0.0024441113207547,-0.00199334130434779,-0.0126654845360825,-0.00461899473684208,-0.0150347662337662,-0.0177041
